"Step","sac_newtire_05_alp01 - train_episode_reward","sac_newtire_05_alp01 - train_episode_reward__MIN","sac_newtire_05_alp01 - train_episode_reward__MAX"
"0","192.04650347588432","192.04650347588432","192.04650347588432"
"20000","3907.9401783840385","3907.9401783840385","3907.9401783840385"
"40020","4181.392739427563","4181.392739427563","4181.392739427563"
"60020","4277.3812778517795","4277.3812778517795","4277.3812778517795"
"80040","4384.001130427822","4384.001130427822","4384.001130427822"
"100040","4579.627188138528","4579.627188138528","4579.627188138528"
"120060","4629.477262897072","4629.477262897072","4629.477262897072"
"140080","4650.152596685109","4650.152596685109","4650.152596685109"
"160100","4772.0517284856305","4772.0517284856305","4772.0517284856305"
"180120","4797.454718175569","4797.454718175569","4797.454718175569"
"200140","4779.351908655644","4779.351908655644","4779.351908655644"
"220160","4776.755146609009","4776.755146609009","4776.755146609009"
"240180","4721.715755451132","4721.715755451132","4721.715755451132"
"260180","4772.885291261968","4772.885291261968","4772.885291261968"
"280200","4792.915429510089","4792.915429510089","4792.915429510089"
"300220","4775.634535959465","4775.634535959465","4775.634535959465"
"320240","4775.5237562814","4775.5237562814","4775.5237562814"
"340260","4786.232772191257","4786.232772191257","4786.232772191257"
"360260","4755.261490956139","4755.261490956139","4755.261490956139"
"380260","4748.669111336063","4748.669111336063","4748.669111336063"
"400260","4793.5040617410905","4793.5040617410905","4793.5040617410905"
"420280","4793.808141612372","4793.808141612372","4793.808141612372"
"440280","4813.160801158271","4813.160801158271","4813.160801158271"
"460300","4823.077424657083","4823.077424657083","4823.077424657083"
"480320","4793.6330279654485","4793.6330279654485","4793.6330279654485"
"500340","4849.7450258279605","4849.7450258279605","4849.7450258279605"
"520340","4891.742953802307","4891.742953802307","4891.742953802307"
"540360","4827.329736213209","4827.329736213209","4827.329736213209"
"560380","4815.259062956272","4815.259062956272","4815.259062956272"
"580380","4854.088173242182","4854.088173242182","4854.088173242182"
"600380","4788.207870354602","4788.207870354602","4788.207870354602"
"620400","4861.503658817392","4861.503658817392","4861.503658817392"
"640420","4844.069104935302","4844.069104935302","4844.069104935302"
"660420","4866.61680447998","4866.61680447998","4866.61680447998"
"680420","4874.735927293465","4874.735927293465","4874.735927293465"
